[refdist_fresh] 1/864 (15 s; ETA 12909 s)
[refdist_fresh] 499/864 (165 s; ETA 121 s)
[refdist_fresh] 500/864 (165 s; ETA 120 s)
[refdist_fresh] 501/864 (165 s; ETA 120 s)
[refdist_fresh] 502/864 (166 s; ETA 120 s)
[refdist_fresh] 503/864 (166 s; ETA 119 s)
[refdist_fresh] 504/864 (166 s; ETA 118 s)
[refdist_fresh] 505/864 (166 s; ETA 118 s)
[refdist_fresh] 506/864 (167 s; ETA 118 s)
[refdist_fresh] 507/864 (167 s; ETA 118 s)
[refdist_fresh] 508/864 (167 s; ETA 117 s)
[refdist_fresh] 509/864 (167 s; ETA 117 s)
[refdist_fresh] 510/864 (168 s; ETA 117 s)
[refdist_fresh] 511/864 (168 s; ETA 116 s)
[refdist_fresh] 512/864 (168 s; ETA 116 s)
[refdist_fresh] 513/864 (170 s; ETA 116 s)
[refdist_fresh] 514/864 (170 s; ETA 116 s)
[refdist_fresh] 515/864 (170 s; ETA 115 s)
[refdist_fresh] 516/864 (170 s; ETA 115 s)
[refdist_fresh] 517/864 (172 s; ETA 115 s)
[refdist_fresh] 518/864 (172 s; ETA 115 s)
[refdist_fresh] 519/864 (172 s; ETA 115 s)
[refdist_fresh] 520/864 (173 s; ETA 114 s)
[refdist_fresh] 521/864 (174 s; ETA 114 s)
[refdist_fresh] 522/864 (174 s; ETA 114 s)
[refdist_fresh] 523/864 (174 s; ETA 114 s)
[refdist_fresh] 524/864 (174 s; ETA 113 s)
[refdist_fresh] 525/864 (176 s; ETA 114 s)
[refdist_fresh] 526/864 (176 s; ETA 113 s)
[refdist_fresh] 527/864 (176 s; ETA 113 s)
[refdist_fresh] 528/864 (177 s; ETA 113 s)
[refdist_fresh] 529/864 (178 s; ETA 113 s)
[refdist_fresh] 530/864 (178 s; ETA 112 s)
[refdist_fresh] 531/864 (178 s; ETA 112 s)
[refdist_fresh] 532/864 (179 s; ETA 111 s)
[refdist_fresh] 533/864 (180 s; ETA 112 s)
[refdist_fresh] 534/864 (180 s; ETA 111 s)
[refdist_fresh] 535/864 (180 s; ETA 111 s)
[refdist_fresh] 536/864 (181 s; ETA 111 s)
[refdist_fresh] 537/864 (181 s; ETA 110 s)
[refdist_fresh] 538/864 (182 s; ETA 110 s)
[refdist_fresh] 539/864 (182 s; ETA 110 s)
[refdist_fresh] 540/864 (183 s; ETA 110 s)
[refdist_fresh] 541/864 (184 s; ETA 110 s)
[refdist_fresh] 542/864 (184 s; ETA 109 s)
[refdist_fresh] 543/864 (184 s; ETA 109 s)
[refdist_fresh] 544/864 (185 s; ETA 109 s)
[refdist_fresh] 545/864 (187 s; ETA 109 s)
[refdist_fresh] 546/864 (187 s; ETA 109 s)
[refdist_fresh] 547/864 (187 s; ETA 108 s)
[refdist_fresh] 548/864 (188 s; ETA 108 s)
[refdist_fresh] 549/864 (191 s; ETA 109 s)
[refdist_fresh] 550/864 (191 s; ETA 109 s)
[refdist_fresh] 551/864 (192 s; ETA 109 s)
[refdist_fresh] 552/864 (192 s; ETA 108 s)
[refdist_fresh] 553/864 (194 s; ETA 109 s)
[refdist_fresh] 554/864 (194 s; ETA 109 s)
[refdist_fresh] 555/864 (195 s; ETA 108 s)
[refdist_fresh] 556/864 (195 s; ETA 108 s)
[refdist_fresh] 557/864 (198 s; ETA 109 s)
[refdist_fresh] 558/864 (198 s; ETA 109 s)
[refdist_fresh] 559/864 (199 s; ETA 108 s)
[refdist_fresh] 560/864 (199 s; ETA 108 s)
[refdist_fresh] 561/864 (201 s; ETA 109 s)
[refdist_fresh] 562/864 (201 s; ETA 108 s)
[refdist_fresh] 563/864 (202 s; ETA 108 s)
[refdist_fresh] 564/864 (202 s; ETA 107 s)
[refdist_fresh] 565/864 (205 s; ETA 109 s)
[refdist_fresh] 566/864 (205 s; ETA 108 s)
[refdist_fresh] 567/864 (206 s; ETA 108 s)
[refdist_fresh] 568/864 (206 s; ETA 107 s)
[refdist_fresh] 569/864 (209 s; ETA 108 s)
[refdist_fresh] 570/864 (209 s; ETA 108 s)
[refdist_fresh] 571/864 (209 s; ETA 107 s)
[refdist_fresh] 572/864 (209 s; ETA 107 s)
[refdist_fresh] 573/864 (213 s; ETA 108 s)
[refdist_fresh] 574/864 (213 s; ETA 107 s)
[refdist_fresh] 575/864 (213 s; ETA 107 s)
[refdist_fresh] 576/864 (213 s; ETA 107 s)
[refdist_fresh] 577/864 (214 s; ETA 106 s)
[refdist_fresh] 578/864 (214 s; ETA 106 s)
[refdist_fresh] 579/864 (214 s; ETA 105 s)
[refdist_fresh] 580/864 (214 s; ETA 105 s)
[refdist_fresh] 581/864 (215 s; ETA 105 s)
[refdist_fresh] 582/864 (215 s; ETA 104 s)
[refdist_fresh] 583/864 (215 s; ETA 104 s)
[refdist_fresh] 584/864 (215 s; ETA 103 s)
[refdist_fresh] 585/864 (215 s; ETA 103 s)
[refdist_fresh] 586/864 (216 s; ETA 102 s)
[refdist_fresh] 587/864 (216 s; ETA 102 s)
[refdist_fresh] 588/864 (216 s; ETA 102 s)
[refdist_fresh] 589/864 (216 s; ETA 101 s)
[refdist_fresh] 590/864 (217 s; ETA 101 s)
[refdist_fresh] 591/864 (217 s; ETA 100 s)
[refdist_fresh] 592/864 (217 s; ETA 100 s)
[refdist_fresh] 593/864 (218 s; ETA 99 s)
[refdist_fresh] 594/864 (218 s; ETA 99 s)
[refdist_fresh] 595/864 (218 s; ETA 99 s)
[refdist_fresh] 596/864 (219 s; ETA 98 s)
[refdist_fresh] 597/864 (219 s; ETA 98 s)
[refdist_fresh] 598/864 (219 s; ETA 98 s)
[refdist_fresh] 599/864 (220 s; ETA 97 s)
[refdist_fresh] 600/864 (220 s; ETA 97 s)
[refdist_fresh] 601/864 (220 s; ETA 96 s)
[refdist_fresh] 602/864 (220 s; ETA 96 s)
[refdist_fresh] 603/864 (220 s; ETA 95 s)
[refdist_fresh] 604/864 (221 s; ETA 95 s)
[refdist_fresh] 605/864 (221 s; ETA 95 s)
[refdist_fresh] 606/864 (221 s; ETA 94 s)
[refdist_fresh] 607/864 (222 s; ETA 94 s)
[refdist_fresh] 608/864 (222 s; ETA 94 s)
[refdist_fresh] 609/864 (223 s; ETA 93 s)
[refdist_fresh] 610/864 (223 s; ETA 93 s)
[refdist_fresh] 611/864 (224 s; ETA 93 s)
[refdist_fresh] 612/864 (224 s; ETA 92 s)
[refdist_fresh] 613/864 (225 s; ETA 92 s)
[refdist_fresh] 614/864 (226 s; ETA 92 s)
[refdist_fresh] 615/864 (227 s; ETA 92 s)
[refdist_fresh] 616/864 (227 s; ETA 91 s)
[refdist_fresh] 617/864 (227 s; ETA 91 s)
[refdist_fresh] 618/864 (228 s; ETA 91 s)
[refdist_fresh] 619/864 (229 s; ETA 91 s)
[refdist_fresh] 620/864 (229 s; ETA 90 s)
[refdist_fresh] 621/864 (230 s; ETA 90 s)
[refdist_fresh] 622/864 (231 s; ETA 90 s)
[refdist_fresh] 623/864 (232 s; ETA 90 s)
[refdist_fresh] 624/864 (232 s; ETA 89 s)
[refdist_fresh] 625/864 (232 s; ETA 89 s)
[refdist_fresh] 626/864 (233 s; ETA 89 s)
[refdist_fresh] 627/864 (234 s; ETA 89 s)
[refdist_fresh] 628/864 (235 s; ETA 88 s)
[refdist_fresh] 629/864 (235 s; ETA 88 s)
[refdist_fresh] 630/864 (236 s; ETA 88 s)
[refdist_fresh] 631/864 (237 s; ETA 87 s)
[refdist_fresh] 632/864 (237 s; ETA 87 s)
[refdist_fresh] 633/864 (237 s; ETA 87 s)
[refdist_fresh] 634/864 (238 s; ETA 86 s)
[refdist_fresh] 635/864 (239 s; ETA 86 s)
[refdist_fresh] 636/864 (239 s; ETA 86 s)
[refdist_fresh] 637/864 (240 s; ETA 86 s)
[refdist_fresh] 638/864 (241 s; ETA 85 s)
[refdist_fresh] 639/864 (242 s; ETA 85 s)
[refdist_fresh] 640/864 (242 s; ETA 85 s)
[refdist_fresh] 641/864 (245 s; ETA 85 s)
[refdist_fresh] 642/864 (245 s; ETA 85 s)
[refdist_fresh] 643/864 (246 s; ETA 84 s)
[refdist_fresh] 644/864 (247 s; ETA 84 s)
[refdist_fresh] 645/864 (248 s; ETA 84 s)
[refdist_fresh] 646/864 (250 s; ETA 84 s)
[refdist_fresh] 647/864 (250 s; ETA 84 s)
[refdist_fresh] 648/864 (252 s; ETA 84 s)
[refdist_fresh] 649/864 (252 s; ETA 84 s)
[refdist_fresh] 650/864 (254 s; ETA 83 s)
[refdist_fresh] 651/864 (255 s; ETA 83 s)
[refdist_fresh] 652/864 (256 s; ETA 83 s)
[refdist_fresh] 653/864 (258 s; ETA 83 s)
[refdist_fresh] 654/864 (259 s; ETA 83 s)
[refdist_fresh] 655/864 (260 s; ETA 83 s)
[refdist_fresh] 656/864 (263 s; ETA 83 s)
[refdist_fresh] 657/864 (263 s; ETA 83 s)
[refdist_fresh] 658/864 (265 s; ETA 83 s)
[refdist_fresh] 659/864 (266 s; ETA 83 s)
[refdist_fresh] 660/864 (267 s; ETA 83 s)
[refdist_fresh] 661/864 (269 s; ETA 82 s)
[refdist_fresh] 662/864 (269 s; ETA 82 s)
[refdist_fresh] 663/864 (271 s; ETA 82 s)
[refdist_fresh] 664/864 (272 s; ETA 82 s)
[refdist_fresh] 665/864 (273 s; ETA 82 s)
[refdist_fresh] 666/864 (273 s; ETA 81 s)
[refdist_fresh] 667/864 (274 s; ETA 81 s)
[refdist_fresh] 668/864 (277 s; ETA 81 s)
[refdist_fresh] 669/864 (277 s; ETA 81 s)
[refdist_fresh] 670/864 (277 s; ETA 80 s)
[refdist_fresh] 671/864 (278 s; ETA 80 s)
[refdist_fresh] 672/864 (279 s; ETA 80 s)
[refdist_fresh] 673/864 (279 s; ETA 79 s)
[refdist_fresh] 674/864 (279 s; ETA 79 s)
[refdist_fresh] 675/864 (280 s; ETA 78 s)
[refdist_fresh] 676/864 (280 s; ETA 78 s)
[refdist_fresh] 677/864 (280 s; ETA 77 s)
[refdist_fresh] 678/864 (281 s; ETA 77 s)
[refdist_fresh] 679/864 (281 s; ETA 77 s)
[refdist_fresh] 680/864 (281 s; ETA 76 s)
[refdist_fresh] 681/864 (282 s; ETA 76 s)
[refdist_fresh] 682/864 (282 s; ETA 75 s)
[refdist_fresh] 683/864 (282 s; ETA 75 s)
[refdist_fresh] 684/864 (282 s; ETA 74 s)
[refdist_fresh] 685/864 (283 s; ETA 74 s)
[refdist_fresh] 686/864 (283 s; ETA 73 s)
[refdist_fresh] 687/864 (284 s; ETA 73 s)
[refdist_fresh] 688/864 (284 s; ETA 73 s)
[refdist_fresh] 689/864 (284 s; ETA 72 s)
[refdist_fresh] 690/864 (284 s; ETA 72 s)
[refdist_fresh] 691/864 (285 s; ETA 71 s)
[refdist_fresh] 692/864 (285 s; ETA 71 s)
[refdist_fresh] 693/864 (285 s; ETA 70 s)
[refdist_fresh] 694/864 (285 s; ETA 70 s)
[refdist_fresh] 695/864 (286 s; ETA 69 s)
[refdist_fresh] 696/864 (286 s; ETA 69 s)
[refdist_fresh] 697/864 (286 s; ETA 69 s)
[refdist_fresh] 698/864 (287 s; ETA 68 s)
[refdist_fresh] 699/864 (287 s; ETA 68 s)
[refdist_fresh] 700/864 (287 s; ETA 67 s)
[refdist_fresh] 701/864 (288 s; ETA 67 s)
[refdist_fresh] 702/864 (288 s; ETA 66 s)
[refdist_fresh] 703/864 (288 s; ETA 66 s)
[refdist_fresh] 704/864 (289 s; ETA 66 s)
[refdist_fresh] 705/864 (289 s; ETA 65 s)
[refdist_fresh] 706/864 (290 s; ETA 65 s)
[refdist_fresh] 707/864 (291 s; ETA 65 s)
[refdist_fresh] 708/864 (291 s; ETA 64 s)
[refdist_fresh] 709/864 (292 s; ETA 64 s)
[refdist_fresh] 710/864 (294 s; ETA 64 s)
[refdist_fresh] 711/864 (294 s; ETA 63 s)
[refdist_fresh] 712/864 (295 s; ETA 63 s)
[refdist_fresh] 713/864 (295 s; ETA 63 s)
[refdist_fresh] 714/864 (296 s; ETA 62 s)
[refdist_fresh] 715/864 (297 s; ETA 62 s)
[refdist_fresh] 716/864 (297 s; ETA 61 s)
[refdist_fresh] 717/864 (298 s; ETA 61 s)
[refdist_fresh] 718/864 (299 s; ETA 61 s)
[refdist_fresh] 719/864 (300 s; ETA 61 s)
[refdist_fresh] 720/864 (300 s; ETA 60 s)
[refdist_fresh] 721/864 (300 s; ETA 60 s)
[refdist_fresh] 722/864 (301 s; ETA 59 s)
[refdist_fresh] 723/864 (302 s; ETA 59 s)
[refdist_fresh] 724/864 (303 s; ETA 59 s)
[refdist_fresh] 725/864 (304 s; ETA 58 s)
[refdist_fresh] 726/864 (304 s; ETA 58 s)
[refdist_fresh] 727/864 (305 s; ETA 57 s)
[refdist_fresh] 728/864 (306 s; ETA 57 s)
[refdist_fresh] 729/864 (306 s; ETA 57 s)
[refdist_fresh] 730/864 (307 s; ETA 56 s)
[refdist_fresh] 731/864 (307 s; ETA 56 s)
[refdist_fresh] 732/864 (309 s; ETA 56 s)
[refdist_fresh] 733/864 (309 s; ETA 55 s)
[refdist_fresh] 734/864 (309 s; ETA 55 s)
[refdist_fresh] 735/864 (310 s; ETA 54 s)
[refdist_fresh] 736/864 (312 s; ETA 54 s)
[refdist_fresh] 737/864 (313 s; ETA 54 s)
[refdist_fresh] 738/864 (314 s; ETA 54 s)
[refdist_fresh] 739/864 (315 s; ETA 53 s)
[refdist_fresh] 740/864 (315 s; ETA 53 s)
[refdist_fresh] 741/864 (319 s; ETA 53 s)
[refdist_fresh] 742/864 (319 s; ETA 52 s)
[refdist_fresh] 743/864 (320 s; ETA 52 s)
[refdist_fresh] 744/864 (321 s; ETA 52 s)
[refdist_fresh] 745/864 (323 s; ETA 52 s)
[refdist_fresh] 746/864 (323 s; ETA 51 s)
[refdist_fresh] 747/864 (328 s; ETA 51 s)
[refdist_fresh] 748/864 (328 s; ETA 51 s)
[refdist_fresh] 749/864 (328 s; ETA 50 s)
[refdist_fresh] 750/864 (328 s; ETA 50 s)
[refdist_fresh] 751/864 (332 s; ETA 50 s)
[refdist_fresh] 752/864 (332 s; ETA 49 s)
[refdist_fresh] 753/864 (334 s; ETA 49 s)
[refdist_fresh] 754/864 (334 s; ETA 49 s)
[refdist_fresh] 755/864 (335 s; ETA 48 s)
[refdist_fresh] 756/864 (337 s; ETA 48 s)
[refdist_fresh] 757/864 (339 s; ETA 48 s)
[refdist_fresh] 758/864 (339 s; ETA 47 s)
[refdist_fresh] 759/864 (339 s; ETA 47 s)
[refdist_fresh] 760/864 (342 s; ETA 47 s)
[refdist_fresh] 761/864 (344 s; ETA 47 s)
[refdist_fresh] 762/864 (344 s; ETA 46 s)
[refdist_fresh] 763/864 (344 s; ETA 46 s)
[refdist_fresh] 764/864 (347 s; ETA 45 s)
[refdist_fresh] 765/864 (349 s; ETA 45 s)
[refdist_fresh] 766/864 (349 s; ETA 45 s)
[refdist_fresh] 767/864 (350 s; ETA 44 s)
[refdist_fresh] 768/864 (351 s; ETA 44 s)
[refdist_fresh] 769/864 (351 s; ETA 43 s)
[refdist_fresh] 770/864 (351 s; ETA 43 s)
[refdist_fresh] 771/864 (352 s; ETA 42 s)
[refdist_fresh] 772/864 (352 s; ETA 42 s)
[refdist_fresh] 773/864 (352 s; ETA 41 s)
[refdist_fresh] 774/864 (353 s; ETA 41 s)
[refdist_fresh] 775/864 (353 s; ETA 41 s)
[refdist_fresh] 776/864 (354 s; ETA 40 s)
[refdist_fresh] 777/864 (354 s; ETA 40 s)
[refdist_fresh] 778/864 (354 s; ETA 39 s)
[refdist_fresh] 779/864 (354 s; ETA 39 s)
[refdist_fresh] 780/864 (355 s; ETA 38 s)
[refdist_fresh] 781/864 (355 s; ETA 38 s)
[refdist_fresh] 782/864 (356 s; ETA 37 s)
[refdist_fresh] 783/864 (356 s; ETA 37 s)
[refdist_fresh] 784/864 (356 s; ETA 36 s)
[refdist_fresh] 785/864 (356 s; ETA 36 s)
[refdist_fresh] 786/864 (357 s; ETA 35 s)
[refdist_fresh] 787/864 (357 s; ETA 35 s)
[refdist_fresh] 788/864 (357 s; ETA 34 s)
[refdist_fresh] 789/864 (358 s; ETA 34 s)
[refdist_fresh] 790/864 (359 s; ETA 34 s)
[refdist_fresh] 791/864 (359 s; ETA 33 s)
[refdist_fresh] 792/864 (359 s; ETA 33 s)
[refdist_fresh] 793/864 (359 s; ETA 32 s)
[refdist_fresh] 794/864 (360 s; ETA 32 s)
[refdist_fresh] 795/864 (360 s; ETA 31 s)
[refdist_fresh] 796/864 (360 s; ETA 31 s)
[refdist_fresh] 797/864 (360 s; ETA 30 s)
[refdist_fresh] 798/864 (361 s; ETA 30 s)
[refdist_fresh] 799/864 (361 s; ETA 29 s)
[refdist_fresh] 800/864 (362 s; ETA 29 s)
[refdist_fresh] 801/864 (363 s; ETA 29 s)
[refdist_fresh] 802/864 (364 s; ETA 28 s)
[refdist_fresh] 803/864 (364 s; ETA 28 s)
[refdist_fresh] 804/864 (364 s; ETA 27 s)
[refdist_fresh] 805/864 (366 s; ETA 27 s)
[refdist_fresh] 806/864 (368 s; ETA 26 s)
[refdist_fresh] 807/864 (368 s; ETA 26 s)
[refdist_fresh] 808/864 (368 s; ETA 26 s)
[refdist_fresh] 809/864 (368 s; ETA 25 s)
[refdist_fresh] 810/864 (370 s; ETA 25 s)
[refdist_fresh] 811/864 (370 s; ETA 24 s)
[refdist_fresh] 812/864 (371 s; ETA 24 s)
[refdist_fresh] 813/864 (371 s; ETA 23 s)
[refdist_fresh] 814/864 (373 s; ETA 23 s)
[refdist_fresh] 815/864 (373 s; ETA 22 s)
[refdist_fresh] 816/864 (373 s; ETA 22 s)
[refdist_fresh] 817/864 (374 s; ETA 22 s)
[refdist_fresh] 818/864 (375 s; ETA 21 s)
[refdist_fresh] 819/864 (376 s; ETA 21 s)
[refdist_fresh] 820/864 (376 s; ETA 20 s)
[refdist_fresh] 821/864 (378 s; ETA 20 s)
[refdist_fresh] 822/864 (379 s; ETA 19 s)
[refdist_fresh] 823/864 (379 s; ETA 19 s)
[refdist_fresh] 824/864 (380 s; ETA 18 s)
[refdist_fresh] 825/864 (380 s; ETA 18 s)
[refdist_fresh] 826/864 (381 s; ETA 18 s)
[refdist_fresh] 827/864 (381 s; ETA 17 s)
[refdist_fresh] 828/864 (382 s; ETA 17 s)
[refdist_fresh] 829/864 (383 s; ETA 16 s)
[refdist_fresh] 830/864 (385 s; ETA 16 s)
[refdist_fresh] 831/864 (385 s; ETA 15 s)
[refdist_fresh] 832/864 (386 s; ETA 15 s)
[refdist_fresh] 833/864 (386 s; ETA 14 s)
[refdist_fresh] 834/864 (390 s; ETA 14 s)
[refdist_fresh] 835/864 (390 s; ETA 14 s)
[refdist_fresh] 836/864 (390 s; ETA 13 s)
[refdist_fresh] 837/864 (392 s; ETA 13 s)
[refdist_fresh] 838/864 (395 s; ETA 12 s)
[refdist_fresh] 839/864 (396 s; ETA 12 s)
[refdist_fresh] 840/864 (397 s; ETA 11 s)
[refdist_fresh] 841/864 (397 s; ETA 11 s)
[refdist_fresh] 842/864 (401 s; ETA 10 s)
[refdist_fresh] 843/864 (401 s; ETA 10 s)
[refdist_fresh] 844/864 (402 s; ETA 10 s)
[refdist_fresh] 845/864 (403 s; ETA 9 s)
[refdist_fresh] 846/864 (405 s; ETA 9 s)
[refdist_fresh] 847/864 (407 s; ETA 8 s)
[refdist_fresh] 848/864 (408 s; ETA 8 s)
[refdist_fresh] 849/864 (408 s; ETA 7 s)
[refdist_fresh] 850/864 (410 s; ETA 7 s)
[refdist_fresh] 851/864 (412 s; ETA 6 s)
[refdist_fresh] 852/864 (413 s; ETA 6 s)
[refdist_fresh] 853/864 (413 s; ETA 5 s)
[refdist_fresh] 854/864 (416 s; ETA 5 s)
[refdist_fresh] 855/864 (416 s; ETA 4 s)
[refdist_fresh] 856/864 (417 s; ETA 4 s)
[refdist_fresh] 857/864 (419 s; ETA 3 s)
[refdist_fresh] 858/864 (420 s; ETA 3 s)
[refdist_fresh] 859/864 (421 s; ETA 2 s)
[refdist_fresh] 860/864 (422 s; ETA 2 s)
[refdist_fresh] 861/864 (425 s; ETA 1 s)
[refdist_fresh] 862/864 (425 s; ETA 1 s)
[refdist_fresh] 863/864 (427 s; ETA 0 s)
[refdist_fresh] 864/864 (427 s; ETA 0 s)
[refdist_fresh] 864 conditions written
